source,window,flow_key,packet_count,total_bytes,duration_s,bytes_per_sec,mean_payload_len,std_payload_len,min_payload_len,max_payload_len,mean_iat,std_iat,min_iat,max_iat,burst_count,upload_ratio,label
browse_session3,3,5t:104.18.160.117:443-172.17.93.240:58633/17,1331,1539803,4.1297,372864.3,1156.88,222.01,32,1208,0.003105,0.029557,0.0,0.78645,7,0.0,web
browse_session3,4,5t:104.18.160.117:443-172.17.93.240:58633/17,436,470748,3.9435,119373.97,1079.7,328.8,32,1208,0.009065,0.106065,0.0,1.639743,5,0.0,web
browse_session3,0,5t:104.18.1.22:443-172.17.93.240:58695/17,205,218448,0.2499,874229.71,1065.6,301.83,32,1208,0.001225,0.004916,0.0,0.069735,1,0.0,web
browse_session3,0,5t:142.251.223.238:443-172.17.93.240:52770/17,11,5794,0.1023,56638.17,526.73,511.65,32,1258,0.01023,0.014645,0.000138,0.043562,1,0.0,web
browse_session3,0,cid:fe8bb3ae63463c2a,6,1882,0.0614,30639.48,313.67,443.17,39,1258,0.012285,0.016074,0.000228,0.043532,1,1.0,data
browse_session3,0,5t:172.17.93.240:64376-198.202.211.1:443/17,13,8124,0.0942,86275.98,624.92,560.74,32,1208,0.007847,0.020622,0.0,0.075677,1,0.0,web
browse_session3,0,5t:142.250.77.131:443-172.17.93.240:52439/17,15,8357,0.2703,30920.48,557.13,545.54,32,1258,0.019305,0.043577,0.0,0.171663,2,0.0,web
browse_session4,0,5t:142.250.67.3:443-172.17.93.240:54983/17,18,10855,0.4374,24818.5,603.06,523.79,31,1258,0.025728,0.0634,0.0,0.272128,2,0.0,web
browse_session4,0,cid:ebce64d901035d2f,14,3530,0.3809,9267.87,252.14,423.31,39,1258,0.029299,0.07775,0.000148,0.296571,2,1.0,web
browse_session4,0,5t:142.250.206.14:443-172.17.93.240:65325/17,16,9128,0.1209,75498.23,570.5,559.4,30,1258,0.00806,0.012165,0.0,0.037352,1,0.0,web
browse_session4,0,cid:ebf7df151838892a,16,2360,0.0872,27060.91,147.5,300.2,40,1258,0.005814,0.008761,0.00012,0.032292,1,1.0,data
browse_session4,0,5t:142.250.77.99:443-172.17.93.240:63866/17,82,92137,0.1447,636811.92,1123.62,354.48,31,1258,0.001786,0.004159,0.0,0.026314,1,0.0,web
browse_session4,0,5t:142.250.206.14:443-172.17.93.240:53145/17,14,5939,0.1813,32750.38,424.21,492.82,32,1258,0.013949,0.032072,0.0,0.119733,2,0.0,web
browse_session4,0,cid:ed08786abac41297,9,2003,0.1387,14440.42,222.56,384.11,39,1258,0.017338,0.038935,0.00018,0.119971,2,1.0,data
browse_session4,0,5t:142.250.77.131:443-172.17.93.240:63597/17,15,8258,0.2981,27704.37,550.53,551.27,32,1258,0.021291,0.052163,0.0,0.206294,2,0.0,web
browse_session5,0,5t:142.251.223.3:443-172.17.93.240:59197/17,18,8872,0.3025,29325.71,492.89,530.02,30,1258,0.017796,0.042208,0.0,0.177758,2,0.0,web
browse_session5,0,cid:e82944112f5b22fa,15,3563,0.2938,12126.18,237.53,412.75,38,1258,0.020988,0.052851,0.000134,0.208652,2,1.0,web
